id,title,url
u4RekcDZnWshhk6GD,Vix's Journey with Snowflake: Moving Data to the Core of Your Product Architecture,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/u4RekcDZnWshhk6GD
BsXweneotXrpGdPbj,How Dataiku and Snowflake Improved Collaboration at DAZN,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/BsXweneotXrpGdPbj
b2y2zi2vuL3nbXpxx,A Technical Deep Dive on the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/b2y2zi2vuL3nbXpxx
Eo4KBhnK6YCtLeC9A,Talend Drives Data Health for Business Decisions,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/Eo4KBhnK6YCtLeC9A
tjXLBCirhmHCHBtdt,Snowflake for Startups: Emerging Opportunities in Data,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/tjXLBCirhmHCHBtdt
jQoAjax2j3rAazQ5m,The Data Show with Trevor Noah,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/jQoAjax2j3rAazQ5m
6MvKNpG59DJPmmw79,HP + ThoughtSpot: How to Use Search & AI to Unleash the True Value from Snowflake Data,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/6MvKNpG59DJPmmw79
EXpDqSNecR2MHqPhv,Domino's Journey to the Data Cloud,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/EXpDqSNecR2MHqPhv
G3jGKiuttqPXvAaqc,Accelerate Your AI and ML Adoption with AWS and Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/G3jGKiuttqPXvAaqc
JLC8XPwfDLa5EaYfd,The Community-Driven Activity Every Snowflake User Should Participate In,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/JLC8XPwfDLa5EaYfd
ZpA2aiYFJApXjLQx2,Driving Data Democratization with Fast Self-service Analytics from Tableau and Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/ZpA2aiYFJApXjLQx2
d8dvPQviRib8rooM5,Ease of Performance: Best Practices Using the Latest Performance Features with Snowflake,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/d8dvPQviRib8rooM5
i8roLabhpjo6AQ8ZG,Building a Tightly Governed Data Cloud with Snowflake and Informatica,snowflake.events.cube365.net/snowflake/summit-2020-apac/content/Videos/i8roLabhpjo6AQ8ZG
